,importance,stddev,p_value,n,p99_high,p99_low
pkt_4_tcp_seq_5,0.0009549795361527447,0.0006589984877757457,0.0006614752921337473,10,0.0016322245282676883,0.0002777345440378011
pkt_0_tcp_opt_68,0.0008185538881309351,0.0009538961784175729,0.011928192270061665,10,0.001798861767154054,-0.00016175399089218368
pkt_6_tcp_sprt_12,0.000818553888130924,0.0007044990170454216,0.0025605363821363135,10,0.0015425592388173637,9.45485374444845e-05
pkt_0_tcp_seq_31,0.000818553888130924,0.0007044990170454215,0.0025605363821363135,10,0.0015425592388173632,9.454853744448471e-05
pkt_6_ipv4_dst_0,0.000818553888130924,0.0007044990170454215,0.0025605363821363135,10,0.0015425592388173632,9.454853744448471e-05
pkt_4_ipv4_id_10,0.000818553888130924,0.0007044990170454215,0.0025605363821363135,10,0.0015425592388173632,9.454853744448471e-05
pkt_4_tcp_seq_21,0.000818553888130924,0.0007044990170454215,0.0025605363821363135,10,0.0015425592388173632,9.454853744448471e-05
pkt_3_ipv4_dst_6,0.0006821282401091033,0.0007190262983556633,0.007478181955207101,10,0.0014210631068701748,-5.680662665196823e-05
pkt_3_ipv4_dst_5,0.0006821282401091033,0.0007190262983556633,0.007478181955207101,10,0.0014210631068701748,-5.680662665196823e-05
pkt_4_tcp_sprt_4,0.0006821282401091033,0.0007190262983556633,0.007478181955207101,10,0.0014210631068701748,-5.680662665196823e-05
pkt_7_ipv4_dst_24,0.0006821282401091033,0.0007190262983556633,0.007478181955207101,10,0.0014210631068701748,-5.680662665196823e-05
pkt_9_ipv4_dst_25,0.0006821282401091033,0.0007190262983556633,0.007478181955207101,10,0.0014210631068701748,-5.680662665196823e-05
pkt_5_tcp_seq_16,0.0006821282401091033,0.0007190262983556633,0.007478181955207101,10,0.0014210631068701748,-5.680662665196823e-05
pkt_9_tcp_sprt_4,0.0006821282401091033,0.0007190262983556633,0.007478181955207101,10,0.0014210631068701748,-5.680662665196823e-05
pkt_7_tcp_opt_74,0.0006821282401091033,0.0007190262983556633,0.007478181955207101,10,0.0014210631068701748,-5.680662665196823e-05
pkt_7_tcp_seq_16,0.0006821282401091033,0.0007190262983556633,0.007478181955207101,10,0.0014210631068701748,-5.680662665196823e-05
pkt_8_ipv4_id_3,0.0006821282401091033,0.0007190262983556633,0.007478181955207101,10,0.0014210631068701748,-5.680662665196823e-05
pkt_5_ipv4_dst_0,0.0006821282401091033,0.0007190262983556633,0.007478181955207101,10,0.0014210631068701748,-5.680662665196823e-05
pkt_1_ipv4_id_9,0.0006821282401091033,0.0007190262983556633,0.007478181955207101,10,0.0014210631068701748,-5.680662665196823e-05
pkt_7_tcp_opt_66,0.0005457025920872938,0.0009538961784175766,0.0519440655310522,10,0.0015260104711104165,-0.00043460528693582885
pkt_6_ipv4_dst_9,0.0005457025920872826,0.0007044990170454215,0.018393748939893047,10,0.001269707942773722,-0.00017830275859915666
pkt_1_ipv4_src_29,0.0005457025920872826,0.0007044990170454216,0.018393748939893064,10,0.001269707942773722,-0.00017830275859915688
pkt_5_ipv4_dst_6,0.0005457025920872826,0.0007044990170454215,0.018393748939893047,10,0.001269707942773722,-0.00017830275859915666
pkt_5_ipv4_dst_13,0.0005457025920872826,0.0007044990170454215,0.018393748939893047,10,0.001269707942773722,-0.00017830275859915666
pkt_6_ipv4_dst_23,0.0005457025920872826,0.0007044990170454215,0.018393748939893047,10,0.001269707942773722,-0.00017830275859915666
pkt_4_ipv4_dst_8,0.0005457025920872826,0.0007044990170454216,0.018393748939893064,10,0.001269707942773722,-0.00017830275859915688
